title,time_addition,views
"Наводнение в Оренбурге и Орске: репортаж из затопленных городов | Россия, новости, эвакуация","2,8 млн просмотров",3 месяца назад
"Россия возьмет Харьков? Все о новом наступлении | Зеленский волнуется, США не дают оружие","2,3 млн просмотров",3 месяца назад
"Чё Происходит #215 | Орск и Оренбург затопило, Кадыров запрещает гимн, Белгород в топе по комфорту","2,1 млн просмотров",4 месяца назад
"Сталинка в Зарядье: как провалилась стройка главного советского небоскрёба | Сталин, Хрущев, СССР",772 тыс. просмотров,4 месяца назад
"Легалайз: как это работает от Амстердама до Украины | Рост ДТП, риск депрессии и продажа по рецепту","1,4 млн просмотров",4 месяца назад
Индонезия: жизнь на тонущей помойке | Почему Джакарта — одна из самых проблемных столиц мира,"2,1 млн просмотров",4 месяца назад
"Чё Происходит #214 | Запертые двери «Крокуса», Соловьев vs белгородцы, подробности обмена Навального","2,1 млн просмотров",4 месяца назад
Исламское государство* — реальная угроза для России? Трагедия в Крокусе и война в Сирии,"2,7 млн просмотров",4 месяца назад
Чечня: от революции Дудаева к терроризму Басаева |трагедия России на Северном Кавказе,"2,5 млн просмотров",4 месяца назад
"Чё Происходит #213 | Атака на «Крокус Сити Холл», умер Василий Уткин, арест Никиты Кологривого","3,1 млн просмотров",4 месяца назад
"«Крокус Сити Холл»: подробности трагедии | Новости про атаку в Москве, взрывы, пожар","7,3 млн просмотров",4 месяца назад
"Россия после выборов: мобилизация, изоляция и отключение Интернета | Прогнозы","2,2 млн просмотров",4 месяца назад
"Россия, которую мы потеряли: что изменилось в стране за 10 лет | Крым, Олимпиада, Навальный",3 млн просмотров,4 месяца назад
"Неаполь: худший город Европы? | Мусор, граффити и мигранты","1,8 млн просмотров",4 месяца назад
"Лихие девяностые: как Жириновский выиграл выборы | Ельцин, Кашпировский, политика и история",926 тыс. просмотров,4 месяца назад
"Война в долг: Россия поставила рекорд по расходам на армию | Экономика, политика и гонка с США","1,2 млн просмотров",4 месяца назад
"Чё Происходит #211 | Покушение на Шария, Пугачева против Стаса Михайлова, биткоин побил свой рекорд",2 млн просмотров,4 месяца назад
Канал Варламова может закрыться? | Чем новый закон грозит журналистике на Ютубе,"1,3 млн просмотров",5 месяцев назад
"Гонконг: квартиры-клетки, небоскребы-бордели, ведьмы под мостом и борьба с Китаем","2,6 млн просмотров",5 месяцев назад
"Чё Происходит #210 | Навального похоронили, Такер Карлсон критикует Путина, расплата Ивлеевой","2,5 млн просмотров",5 месяцев назад
"Египет, который вы не видели: трущобы Александрии, поддержка Палестины и арабская весна","2,9 млн просмотров",5 месяцев назад
"Блокировка Ютуба в России: что об этом известно? | Соловьев, ВПН, Рутуб и Стас Ай Как Просто","1,5 млн просмотров",5 месяцев назад
"Чё Происходит #209 | Тело Навального отдали матери, Билан спел для Путина, Эстония строит бункеры","2,5 млн просмотров",5 месяцев назад
"Россия после войны: чего ждать дальше? | Путин, деньги для Украины и демография",5 млн просмотров,5 месяцев назад
"Навальный: от расследований в ЖЖ до отравления и тюрьмы | «Яблоко», борьба с коррупцией, митинги","1,9 млн просмотров",5 месяцев назад
"Тайвань: угрозы из Китая, дома НЛО и диктаторы в парке | От вражды с Японией до дружбы с США",3 млн просмотров,5 месяцев назад
"Навальный умер, НТВ «мочит» Собчак, новости Туркменистана | Чё Происходит #208","2,8 млн просмотров",5 месяцев назад
"Смерть Навального: причины, мнения и реакция пропаганды | Путин, Байден, Волков и мнение врача","2,4 млн просмотров",5 месяцев назад
"Навальный умер: первые подробности о трагедии | Путин, Байден, Надеждин","3,2 млн просмотров",5 месяцев назад
"Черные риэлторы: как отнимают квартиры в России | Недвижимость, мошенничество и обман","1,4 млн просмотров",5 месяцев назад
"Индия: музей туалетов, живой Ленин и йога против войны | Большое путешествие от Дели до Варанаси","3,3 млн просмотров",5 месяцев назад
"Чё Происходит #207 | Зеленский уволил Залужного, ЦИК отказал Надеждину, интервью Путина Карлсону","1,7 млн просмотров",5 месяцев назад
Интервью Путина Такеру Карлсону: что это было и зачем | Лекция по истории Украины для американцев,"2,2 млн просмотров",5 месяцев назад
"РЕН-ТВ отдыхает: российская лженаука про НЛО, ГМО и ДНК | Украина, эволюция и грехи, матрица Гаряева",823 тыс. просмотров,6 месяцев назад
"Сомали: страна руин, пиратов и нищеты | Путешествие на самое дно Африки","1,5 млн просмотров",6 месяцев назад
"Чё Происходит #206 | Михалков «сдал» Собчак и Ивлееву, перемирие Израиля и ХАМАС, Надеждина «мочат»","1,6 млн просмотров",6 месяцев назад
"Где сейчас идёт война: 46 конфликтов от Афганистана до Ямайки | Израиль, Украина, Индия","1,5 млн просмотров",6 месяцев назад
"Мумбаи: столица индийских трущоб | Кругом грязь, нищета и большие деньги","2,9 млн просмотров",6 месяцев назад
"Очереди за Надеждина, Ил-76 упал под Белгородом, «Би-2» задержаны в Таиланде | Чё Происходит #205","1,6 млн просмотров",6 месяцев назад
"Израиль в Крыму | Как СССР переселял евреев на деньги из США, советский проект",823 тыс. просмотров,6 месяцев назад
"Золотой век авиации: стюардессы-модели, виски без лимита и огромный самолет Хрущева | Полеты мечты","1,3 млн просмотров",6 месяцев назад
"Мальдивы: тонны мусора, алко-лодки и запрет на бикини | Настоящая жизнь на райских островах","3,7 млн просмотров",6 месяцев назад
"Чё Происходит #204 | Варламову пришили руку, ChatGPT идёт на фронт, «Сваты» без Киркорова",2 млн просмотров,6 месяцев назад
"Протесты в Башкирии: стычки с ОМОНом, аресты и обвинения Украины | Новости России","1,3 млн просмотров",6 месяцев назад
"Хуситы: кого и за что бомбят США и Великобритания | Война в Йемене, угроза Израилю, связи с Ираном","1,6 млн просмотров",6 месяцев назад
"Чё Происходит #203 | Путин против мультиков, Косенко бросил сына в снег, Чудотворец не спас Мутабор","1,5 млн просмотров",6 месяцев назад
